            Observation   DiGangiError  SucheyBrooksError  Difference
                197             -16             -14            2  
                198              -3              -1            2  
                199             -13              -6            7  
                200             -15             -13            2  
                201              -7              -5            2  
                202              -7              -5            2  
                203              -3               3            6  
                204             -18               4           22  
                205               9               3           -6  
                206             -11               3           14  
                207             -17              -6           11  
                208             -28             -17           11  
                209              -4               3            7  
                210             -19              -3           16  
                211             -58             -18           40  
                212             -16              -6           10  
                213             -33             -17           16  
                214              -6              -2            4  
                215             -25             -11           14  
                216             -16             -14            2  
                217              -8              -2            6  
                218             -14             -12            2  
                219             -18             -16            2  
                220             -24             -22            2  
                221             -28             -12           16  
                222              -5              -1            4  
                223             -12              -4            8  
                224             -17             -10            7  
                225             -19              -5           14  
                226             -38              -9           29  
                227             -11               7           18  
                228             -14              NA           NA  
                229             -29             -27            2  
                230               5              15           10  
                231              -4             -19          -15  
                232             -10              -6            4  
                233             -36             -22           14  
                234               3              -8          -11  
                235             -12               2           14  
                236             -15             -24           -9  
                237             -10              -6            4  
                238             -24             -25           -1  
                239               6               8            2  
                240             -23              -9           14  
                241             -26             -13           13  
                242               1              -8           -9  
                243             -13              -7            6  
                244             -10              -4            6  
                245             -21               1           22  
                246             -30             -13           17  
                247             -33              -5           28  
                248              -7              -1            6  
                249              -8             -10           -2  
                250              -6             -17          -11  
                251             -12              -6            6  
                252             -12             -25          -13  
                253              -3             -15          -12  
                254             -15              -9            6  
                255             -18             -15            3  
                256               4              -5           -9  
                257             -17             -17            0  
                258             -20              -6           14  
                259              -5               1            6  
                260             -22             -20            2  
                261               5              -1           -6  
                262               6               0           -6  
                263             -17             -30          -13  
                264             -14             -25          -11  
                265              -1              -5           -4  
                266             -30             -16           14  
                267               9              -1          -10  
                268              -5              -9           -4  
                269             -13               1           14  
                270             -14               0           14  
                271             -18             -12            6  
                272             -16               1           17  
                273              -9              13           22  
                274             -16               0           16  
                275             -32             -16           16  
                276               0              11           11  
                277              -1              15           16  
                278             -27             -13           14  
                279              -8               6           14  
                280             -17             -17            0  
                281             -34             -17           17  
                282             -13              -7            6  
                283             -40             -26           14  
                284             -35             -21           14  
                285             -11              -9            2  
                286               2               1           -1  
                287             -23              -9           14  
                288             -29             -19           10  
                289             -15             -12            3  
                290              12               3           -9  
                291             -19             -12            7  
                292             -14              -7            7  
                293               7              -2           -9  
                294              -3               0            3  
                295             -28             -14           14  
                296             -36              -7           29  
                297             -17             -14            3  
                298             -42             -33            9  
                299              -9              -7            2  
                300              -6              -2            4  
                301             -29              -7           22  
                302             -13              10           23  
                303             -15             -13            2  
                304               0               3            3  
                305             -29             -18           11  
                306             -30             -28            2  
                307              -3             -14          -11  
                308               0              -4           -4  
                309              -4             -13           -9  
                310              -2              15           17  
                311             -23             -12           11  
                312             -12              -6            6  
                313             -15             -11            4  
                314               0               3            3  
                315               8              -1           -9  
                316             -17             -15            2  
                317              32              10          -22  
                318             -28             -14           14  
                319             -14             -12            2  
                320               0              14           14  
                321             -19             -28           -9  
                322               1               3            2  
                323               5              -6          -11  
                324             -24             -28           -4  
                325               8               5           -3  
                326             -10              -6            4  
                327             -22             -15            7  
                328             -30             -16           14  
                329              -2              -6           -4  
                330             -16              -3           13  
                331              18              -4          -22  
                332              -4               7           11  
                333              -8               6           14  
                334             -12               5           17  
                335             -11               5           16  
                336               4              -5           -9  
                337              -1               3            4  
                338             -29              NA           NA  
                339             -60             -25           35  
                340             -38             -24           14  
                341             -52             -17           35  
                342             -12               5           17  
                343             -18             -22           -4  
                344             -29             -26            3  
                345             -15              -9            6  
                346             -22             -20            2  
                347             -28               0           28  
                348              -9               1           10  
                349               0              -3           -3  
                350             -18              10           28  
                351             -13               1           14  
                352             -13              -2           11  
                353              -5              12           17  
                354              15              11           -4  
                355             -13             -20           -7  
                356               4              -7          -11  
                357             -13             -10            3  
                358             -16             -14            2  
                359             -22             -16            6  
                360             -32             -30            2  
                361             -11              -2            9  
                362              -3              -9           -6  
                363               7              -2           -9  
                364             -14               9           23  
                365               1              -8           -9  
                366             -16              -6           10  
                367             -17             -10            7  
                368              -2               4            6  
                369             -28              -5           23  
                370             -13             -31          -18  
                371              -3               0            3  
                372             -19             -20           -1  
                373              -1               1            2  
                374             -49             -35           14  
                375              -3              11           14  
                376             -12               2           14  
                377             -40             -23           17  
                378               3              -1           -4  
                379             -15             -19           -4  
                380              -3               0            3  
                381             -33             -16           17  
                382              -5              -9           -4  
                383              -7              -4            3  
                384               2               5            3  
                385             -26             -16           10  
                386              -3              -1            2  
                387             -37             -15           22  
                388             -20             -22           -2  
                389               1               3            2  
                390              -7               3           10  
                391             -20              -6           14  
                392             -23             -20            3  
                393              -8              14           22  
                394             -28             -14           14  
                395             -25              -8           17  
                396             -42             -13           29  
                397             -41             -13           28  
                398             -15             -17           -2  
                399              -8               6           14  
                400              -6               7           13  
